ACTDT,YEAR,YR_QTR,ACTION,APP_NO,FM,NUMBER,STREET,ST_TYPE,BLOCK,LOT,BLOCKLOT,DESCRIPT,EXT_USE,PROP_USE,AFF_HSG,AFF_TARGET,UNITS,NETUNITS,planning_district_number,planning_district,supervisor_district,analysis_neighborhood,the_geom
2005/12/16,2005,2005_Q4,FINAL INSPECT/APPRVD,200506306530,6,0,JERROLD,AV,4591A,076,4591A076,TO DEMOLI,,,0,,0,-1,10,South Bayshore,10,Bayview Hunters Point,"(37.727475093328, -122.367753991638)"
2006/11/02,2006,2006_Q4,CFC ISSUED,200304101998,2,1218,MARIPOSA,ST,3985,013,3985013,ERECT A TWO STORY SINGLE FAMILY DWELLING,,1 FAMILY DWELLING,0,,1,1,9,South of Market,10,Potrero Hill,"(37.76411580703, -122.396154019132)"
2006/09/29,2006,2006_Q3,CFC ISSUED,200409093644,2,338,HOLLADAY,AV,5574,003,5574003,ERECT A 3 STORIES 1 DWELLING UNIT BLDG.,,1 FAMILY DWELLING,0,,1,1,11,Bernal Heights,9,Bernal Heights,"(37.74438104594, -122.406066701946)"
2015/02/05,2015,2015_Q1,CFC ISSUED,201501307085,8,341,WILDE,AV,6192,060,6192060,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PAT #201302250871. ALL WORK IS COMPLETE.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,12,South Central,10,Visitacion Valley,"(37.71643516278, -122.403523298747)"
2015/09/16,2015,2015_Q3,COMPLETE,201412234446,3,135,MIRAMAR,AV,6984,011,6984011,"LEGALIZE NEW UNIT AT FINAL PLAN. 2 BEDROOMS, 1 BATH, 1 STORAGE AND KITCHEN. add 1 furnace.",2 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.720697177442, -122.458507566564)"
2007/07/24,2007,2007_Q3,CFC ISSUED,200510195940,3,742,NATOMA,ST,3728,040,3728040,1 STORY ADDITION(NEW 3/F) ABOVE(E)2/F FOR(N)UPPER UNIT.CONVERT (E)GARMENT SHOP TO RESIDENTIAL AREA & GARAGE USE ON (E)G/F.G/F RESIDENTIAL AREA FOR 2/F(LOWER UNIT)USE ONLY.ALTERATION TO (E)2/F. CHANGE (E)FACADE SIDING TO NEW STUCCO.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,4,Downtown,6,South of Market,"(37.776231669141, -122.412995430951)"
2006/05/02,2006,2006_Q2,PRE-FINAL,200405113567,3,34,06TH,ST,3703,004,3703004,"PROVIDE ACCESSIBLE DWELLING UNITS AND RESTROOMS, NEW COMMUNITY KITCHEN, NEW TENANT LAUNDRY,",TOURIST HOTEL/MOT,TOURIST HOTEL/MOT,0,,203,-1,4,Downtown,6,South of Market,"(37.781438785784, -122.409870418854)"
2006/09/20,2006,2006_Q3,CFC ISSUED,200402116167,3,1101,OAK,ST,1218,001,1218001,SEPARATE CLERGY LIVING QUARTERS FROM EXISTING CHURCH SPACE TO ESTABLISH AS A SEPARATE DWELLING UNIT.,APARTMENTS,APARTMENTS,0,,1,1,6,Buena Vista,5,Haight Ashbury,"(37.772946233683, -122.43767102382)"
2008/03/04,2008,2008_Q1,CFC ISSUED,200411199736,2,3354,20TH,ST,3594,015,3594015,"TO ERECT 5 STORIES OF 6 DWELLING UNITS RESIDENTIAL, COMMERCIAL & PARKING.",,APARTMENTS,0,,6,6,8,Mission,9,Mission,"(37.759041702674, -122.415998525064)"
2008/12/22,2008,2008_Q4,FINAL INSPECT/APPRVD,200811257338,8,425,33RD,AV,1465,001B,1465001B,"REMOVE ILLEGAL UNIT; COMPLY WITH HIS NOV# 200864194 DATED 7-17-08-REMOVE ILLEGAL 3RD UNIT, REVERT BACK TO 2 UNIT BUILDING. REMOVE CABINETS, REFRIGERATOR, RANGE, SINK, COUNTERTOP, FAUCET AND CAP OFF ALL UTILITIES AT SOURCE",APARTMENTS,2 FAMILY DWELLING,0,,2,-1,1,Richmond,1,Outer Richmond,"(37.781124620244, -122.493754504793)"
2015/01/02,2015,2015_Q1,COMPLETE,201401106023,8,2427,32ND,AV,2393,004,2393004,LEGALIZE 1 BATHROOM AND STORAGE ON 1ST FL PER PLAN TO COMPLY WITH COMPLAINT 201343295,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,15,Outer Sunset,4,Sunset/Parkside,"(37.741868949133, -122.489923217429)"
2006/01/26,2006,2006_Q1,CFC ISSUED,200404070748,2,20,CRAGMONT,AV,2123B,001G,2123B001G,ERECT A NEW THREE STORY SINGLE FAMILY DWELLING,,1 FAMILY DWELLING,0,,1,1,14,Inner Sunset,7,Inner Sunset,"(37.75115174457, -122.468164895161)"
2008/02/29,2008,2008_Q1,CFC ISSUED,200702023219,3,1607,09TH,AV,1934,001A,1934001A,"CONVERSION OF (E) GROUND FLOOR STORAGE AREA TO (N) HABITABLE SUTDIO UNIT. WORK INCLUDES (N) PARTITIONS, DOORS, WINDOWS, CEILING, (N) KITCHEN & BATHROOM, (N) POWER & LIGHTING. WORK IS IN CONSTRUCTION WITH CURRENT VARIANCE APPL#20061307",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,14,Inner Sunset,7,Inner Sunset,"(37.758232659654, -122.466160572243)"
2013/09/26,2013,2013_Q3,COMPLETE,201305146876,8,3135,24TH,ST,6520,036,6520036,,AUTO REPAIRS,APARTMENTS,0,,9,9,8,Mission,9,Mission,"(37.75224014312, -122.414719020607)"
2007/12/13,2007,2007_Q4,CFC ISSUED,200506084506,3,602,RANDOLPH,ST,7085,018,7085018,"CONVERSION OF A SINGLE FAMILY HOME TO 2 UNIT BUILDING. HORIZONTAL & VERTICAL ADDITION- TO RANDOLPH STREET EXTENSTION. MECHANICAL, ELECTRICAL & PLUMBING UNDER SEPERATE PERMITS.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.714517196449, -122.468161678576)"
2007/03/08,2007,2007_Q1,CFC ISSUED,200303058845,2,66,BELCHER,ST,3537,067,3537067,ERECT A 4 STORY 3 DWELLING UNIT RESIDENTIAL BLDG,,APARTMENTS,0,,3,3,6,Buena Vista,8,Castro/Upper Market,"(37.768213107128, -122.430468704851)"
2005/07/15,2005,2005_Q3,PRE-FINAL,9623103S,1,555,JACKSON,ST,0195,019,0195019,TO ERECT,,,106,VLI,0,106,3,Northeast,3,Chinatown,"(37.795952638571, -122.40477976308)"
2009/03/13,2009,2009_Q1,CFC ISSUED,200702164406,1,910,MINNESOTA,ST,4106,027,4106027,HOMES ON ESPRIT PARK.  ERECT 6 STORIES 15 DWELLINGS RESIDENTIAL BLDG.,,APARTMENTS,0,,15,15,9,South of Market,10,Potrero Hill,"(37.759694173868, -122.390879683358)"
2010/09/16,2010,2010_Q3,CFC ISSUED,200511107819,2,2571,SAN JOSE,AV,7046,025,7046025,"TO ERECT 3 STORIES, 2 RESIDENTIAL UNITS.",,2 FAMILY DWELLING,0,,2,2,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.717090787511, -122.449239952212)"
2013/01/31,2013,2013_Q1,COMPLETE,200802265608,2,547,GROVE,ST,0807,022,0807022,,,APARTMENTS,0,,3,3,5,Western Addition,5,Hayes Valley,"(37.777255518808, -122.425550810499)"
2015/12/14,2015,2015_Q4,PRE-FINAL,201303071701,3,327,BALBOA,ST,1640,051,1640051,REVISION TO PA# 2011-0128-9269-1ST FL-REMOVE 2 BEDRMS/ADD STUDY/ INCREASE GREAT RM.ADA COMPLY/ENLARGE(E)BATHRM. ENCLOSE PATIO.2/FL-CHANGE BEDRM 2 TO A STUDY/OMIT 2 BATHS MAKE 1 BIGGER BATH/FILL IN LANDING & STAIR IN REAR.REMOVE RATED GLASS BLOCKS RELOCAT,APARTMENTS,APARTMENTS,4,SEC,6,4,1,Richmond,1,Inner Richmond,"(37.777064669276, -122.462398570773)"
2008/05/01,2008,2008_Q2,FINAL INSPECT/APPRVD,200604259794,2,1183,FITZGERALD,AV,4938,017,4938017,"ERECT 2 STORIES, SINGLE FAMILY DWELLING UNIT BUILDING.",,1 FAMILY DWELLING,0,,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.72059305125, -122.391173116017)"
2014/09/26,2014,2014_Q3,CFC ISSUED,200702063548,2,1728,DIAMOND,ST,7535,102,7535102,"ERECT: 1 3-STORY, TYPE-5 RESIDENTIAL STRUCTURE.",,1 FAMILY DWELLING,0,,1,1,7,Central,8,Noe Valley,"(37.743701794111, -122.435825748045)"
2015/04/01,2015,2015_Q2,COMPLETE,9507529S,3,1364,20TH,AV,1774,031,1774031,HORIZONTAL,2 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,15,Outer Sunset,4,Sunset/Parkside,"(37.762364438032, -122.477796398826)"
2011/10/05,2011,2011_Q3,CFC ISSUED,201104043454,3,30,PIEDMONT,ST,1270,014,1270014,THE SCOPE OF WORK INCLUDES DEMOLITION OF EXISTING KITCHEN AND HALF BATH AT LOWER LEVEL ( UNIT 26 PIEDMONT ST) TO PROVIDE STORAGE AREAS. THE REMODEL INTENDS TO MERGE 26 PIEDMONT ST W/ 30 PIEDMONT ST.,2 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,6,Buena Vista,8,Haight Ashbury,"(37.765749244474, -122.444748056886)"
2010/06/07,2010,2010_Q2,CFC ISSUED,200711017044,2,3087,22ND,ST,3638,087,3638087,TO ERECT 4 STORIES OF 3 FAMILIES DWELLINGS (TYPE 5).,,APARTMENTS,0,,3,3,8,Mission,9,Mission,"(37.755369597542, -122.416200459279)"
2006/06/29,2006,2006_Q2,FINAL INSPECT/ APPRVD,200603287730,8,5308,MISSION,ST,7043,001A,7043001A,"COMPLY WITH NOV #200234141, 200340374, 200343421",1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,12,South Central,11,Outer Mission,"(37.714578962549, -122.443034598941)"
2010/02/01,2010,2010_Q1,CFC ISSUED,200906301655,3,3275,16TH,ST,3567,035,3567035,"CONVERT E RESIDENTIAL BUILDING FOR SCHOOL USE WITH CLASSROOMS ON THE 1ST FLOOR AND OFFICES ON THE 2ND AND 3RD FLOORS. FIRE ALARM, SPRINKLERS, AND MEP SEPARTE PERMIT.",APARTMENTS,SCHOOL,0,,0,-3,8,Mission,8,Mission,"(37.76443374816, -122.425699134856)"
2005/03/07,2005,2005_Q1,CFC ISSUED,200409133974,3,365,GREEN,ST,0133,037,0133037,REMOVE WA,,,0,,0,-1,3,Northeast,3,North Beach,"(37.799805182836, -122.405291614894)"
2011/10/21,2011,2011_Q4,CFC ISSUED,200709284059,3,633,27TH,AV,1570,003A,1570003A,REMODEL EXISTING 2 STORY INTO 3 STORY W/  NEW BASEMENT/ ADD I UNIT/,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,1,Outer Richmond,"(37.777379506527, -122.48702769278)"
2009/12/08,2009,2009_Q4,FINAL INSPECT/APPRVD,200903113884,8,2715,SACRAMENTO,ST,0633,015,0633015,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA 200508120152. MINOR INTERIOR ALTERATIONS FOR UNIT REDUCTION.ADD RESIDENTIAL ELEVATOR TO SERVE TOP 2 FLOORSALL WORK HAS BEEN COMPLETED. REDUCTION OF APARTMENTS APPROVED UNDER PA 200508120152.,APARTMENTS,APARTMENTS,0,,5,-4,2,Marina,2,Pacific Heights,"(37.789034777641, -122.438183398697)"
2015/03/02,2015,2015_Q1,COMPLETE,201402108191,3,121,RICE,ST,7163,013,7163013,"TO COMPLY WITH COMPLAINT # 201302911, REMOVE ONE 1ST STORY STOVE. REMOVE ONE WATER HEATER, KEEP ANOTHER ONE 40 GAL WATER HEATER. LEGALIZE BATHROOMS IN GROUND FLOOR.",1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,12,South Central,11,Outer Mission,"(37.709078945834, -122.458808910341)"
2011/08/01,2011,2011_Q2,CFC ISSUED,201001134660,3,3131,MISSION,ST,5501,048,5501048,CHANGE OF USE - CONVERT RESIDENTIAL 1ST FLOOR UNIT TO DENTAL OFFICE. REMODEL EXISTING BATHROOM TO COMPLY WITH 20% ADA REQUIREMENT.,2 FAMILY DWELLING,CLINICS-MEDIC/DENTAL,0,,1,-1,11,Bernal Heights,9,Bernal Heights,"(37.747135459599, -122.418580446287)"
2005/08/10,2005,2005_Q3,CFC ISSUED,200209207057,2,75,DORE,ST,3518,045,3518045,ERECT A 5,,,98,VLI,0,98,9,South of Market,6,South of Market,"(37.773759328477, -122.412475088129)"
2008/11/07,2008,2008_Q4,FINAL INSPECT/APPRVD,200810275234,8,859,34TH,AV,1677,010,1677010,RENEW PA# 2007/05/16/1400 TO OBTAIN FINAL INSPECTION.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,1,Outer Richmond,"(37.772886159502, -122.494229627817)"
2010/07/23,2010,2010_Q3,CFC ISSUED,200801152502,3,259,BRIGHTON,AV,6943,007,6943007,1) THREE STORY REAR ADDITION (TOTAL AREA: 1908 SQ. FT.) 2) ADD ONE UNIT ON 3RD FLOOR.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,13,Ingleside,7,Oceanview/Merced/Ingleside,"(37.722931016755, -122.455457115167)"
2008/12/09,2008,2008_Q4,CFC ISSUED,200607186940,3,514,JERSEY,ST,6505,012,6505012,"REPLACE ROUNDATION, ADD 2ND UNIT, EXTEND TO BACK, ADD MEZZANINE AND 3RD STORY.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Noe Valley,"(37.750570641115, -122.436889585968)"
2008/06/13,2008,2008_Q2,FINAL INSPECT/APPRVD,200707267794,8,2044,CLEMENT,ST,1412,020,1412020,"RENEW TO COMPLETE WORK TO COMPLY WITH LAST LEGAL USE AS 1 COMMERCIAL AND 2 FLATS: 200512029396. COMPLY WITH NOVS 199927073, 200229070, 200228220, AND CITY ATTORNEY CASE 417-912 CORRECTED UNIT COUNT TO 1 FROM -14",TOURIST HOTEL/MOTEL,2 FAMILY DWELLING,0,,2,1,1,Richmond,1,Outer Richmond,"(37.782430367218, -122.481424559205)"
2011/11/01,2011,2011_Q4,CFC ISSUED,201006225027,3,720,YORK,ST,4080,021,4080021,"UNIT 107 - LEVEL 1:RELOCATE STAIR TO MEZZANINE. REMODEL KITCHEN. MEZZANINE:ADD BATHROOM, STORAGE CLOSET CONVERT FROM OFFICE/COMMERCIAL TO DWELLING CONDO.",OFFICE,ARTIST LIVE/WORK,1,SEC,36,1,8,Mission,10,Mission,"(37.759835791605, -122.409218703638)"
2005/10/25,2005,2005_Q4,CFC ISSUED,200507076997,8,67,FRESNO,ST,0145,017,0145017,BASEMENT,,,0,,0,-1,3,Northeast,3,North Beach,"(37.798450088069, -122.406668014509)"
2014/09/26,2014,2014_Q3,CFC ISSUED,200702063550,2,1738,DIAMOND,ST,7535,102,7535102,"TO ERECT 3 STORY, TYPE 5, SINGLE FAMILY DWELLING BUILDING.",,1 FAMILY DWELLING,0,,1,1,7,Central,8,Noe Valley,"(37.743701794111, -122.435825748045)"
2012/05/08,2012,2012_Q2,FINAL INSPECT/APPRVD,201204259040,8,2374,FOLSOM,ST,3594,009,3594009,"Revision to pa#200701292823, revise interior layout @ all floors per plan. ADD TWO FULL BATHS & 1/2 BATH.",2 FAMILY DWELLING,APARTMENTS,0,,4,2,8,Mission,9,Mission,"(37.759350672741, -122.415100758952)"
2005/12/01,2005,2005_Q4,CFC ISSUED,200203262363,2,1600,WEBSTER,ST,0685,051,0685051,ERECT A 4,,,2,MOD,0,48,5,Western Addition,5,Japantown,"(37.785685308988, -122.430956733395)"
2010/01/28,2010,2010_Q1,FINAL INSPECT/APPRVD,200504018981,6,3975,19TH,ST,3601,089,3601089,DEMOLISH 1 STORY SINGLE FAMILY RES.,1 FAMILY DWELLING,,0,,-1,-1,7,Central,8,Castro/Upper Market,"(37.759222830615, -122.431993934622)"
2006/07/18,2006,2006_Q3,FINAL INSPECT/ APPRVD,200312162412,3,2423,LEAVENWORTH,ST,0048,004,0048004,INTERIOR MODIFICATIONS TO CONVERT 3 UNITS BUILDING TO TWO UNITS. INSTALL NEW STAIR BETWEEN 1ST & 2ND,APARTMENTS,2 FAMILY DWELLING,0,,2,-1,3,Northeast,2,Russian Hill,"(37.803652645156, -122.418509841577)"
2014/01/27,2014,2014_Q1,COMPLETE,200612210404,6,1401,DIVISADERO,ST,1098,009,1098009,TO DEMOLISH 21 DWELLING UNIT WITH COMMERCIAL SPACE,APARTMENTS,,0,,-21,-21,5,Western Addition,5,Western Addition,"(37.782637100315, -122.439637850336)"
2012/07/12,2012,2012_Q3,CFC ISSUED,201001154846,3,162,LANDERS,ST,3557,024,3557024,"THREE STORIES (N) HORIZONTAL ADDITION, AND ONE STORY (N) VERTICAL ADDITION , GUT REMODEL OF INTERIOR, INCLULDING (N) KITCHEN, BATHROOM, FOUNDATION WORK, REAR DECK, (N) ELECTRICAL, MECHANICAL, PLUMBING, WINDOWS, DOORS, INSULATION & ROOF DECK.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Castro/Upper Market,"(37.765168116103, -122.427948994331)"
2008/10/01,2008,2008_Q4,CFC ISSUED,200110110515,1,55,PAGE,ST,0854,011,0854011,ERECT AN EIGHT STORY 127 UNIT RESIDENTIAL BLDG,,APARTMENTS,17,MOD,127,128,6,Buena Vista,5,Hayes Valley,"(37.773894937139, -122.421890378471)"
2006/08/25,2006,2006_Q3,CFC ISSUED,200401234726,3,3640,BALBOA,ST,1580,005F,1580005F,BUILD TWO NEW REDIENTIAL UNITS IN A TWO STORY ADDITION ABOVE THE EXISTING 1 STORY PLUS MEZZANINE***,RETAIL SALES,2 FAMILY DWELLING,0,,2,2,1,Richmond,1,Outer Richmond,"(37.775891403191, -122.498140136508)"
2008/01/29,2008,2008_Q1,FINAL INSPECT/APPRVD,200706073347,3,2513,OCTAVIA,ST,0567,005,0567005,LEGALIZE (E) UNIT ON LOWER FLOOR,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,2,Marina,2,Pacific Heights,"(37.795556211307, -122.428809418893)"
2009/12/03,2009,2009_Q4,CFC ISSUED,200611067004,3,139,LEESE,ST,5745,030,5745030,"REMOVAL OF E ASBESTOS SIDING AND FALSE FACADE, SOFT (INTERIOR WALL) DEMOLITION, ADDITION (2 STORY OVER GARAGE) AT REAR, NEW INTERIOR PARTITIONS, KITCHENS, BATHS, DECK AT REAR, NEW ROOF, NEW SIDING, NEW WINDOWS, FOUNDATION, LANDSCAPING",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,11,Bernal Heights,9,Bernal Heights,"(37.735511778538, -122.422590382114)"
2005/10/14,2005,2005_Q4,CFC ISSUED,200404060599,2,648,CAMBRIDGE,ST,6034,035,6034035,ERECT A T,,,0,,0,1,12,South Central,9,Portola,"(37.723285184854, -122.417442282658)"
2015/03/06,2015,2015_Q1,COMPLETE,201402188705,3,64,WHITTIER,ST,6473,003B,6473003B,REMOVE ILLEGALLY BUILT KITCHEN IN GARAGE. LEGALIZE (E) GROUND FLOOR STORAGE & BATH TO COMPLY WITH COMPLAINT 201448141,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,12,South Central,11,Excelsior,"(37.709378439937, -122.448110003041)"
2008/09/11,2008,2008_Q3,FINAL INSPECT/APPRVD,200302066844,2,6,MINERVA,ST,7067,036,7067036,"ERECT A TWO STORIES, SINGLE FAMILY DWELLING RESIDENTIAL BUILDING",,1 FAMILY DWELLING,0,,1,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.716017236382, -122.4539650086)"
2005/02/04,2005,2005_Q1,FINAL INSPECT/APPRVD,200205015440,6,1708,ANZA,ST,1536,015,1536015,DEMOLISH,,,0,,0,-1,1,Richmond,1,Inner Richmond,"(37.779234328984, -122.466595735684)"
2005/02/04,2005,2005_Q1,FINAL INSPECT/APPRVD,200205015440,6,1708,ANZA,ST,1536,015,1536015,DEMOLISH,,,0,,0,-1,1,Richmond,1,Inner Richmond,"(37.779234328984, -122.466595735684)"
2012/11/06,2012,2012_Q4,CFC ISSUED,201203156111,8,1858,GREEN,ST,0543,014,0543014,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA#8804932 TO RENEW EXPIRED PERMIT FOR FINAL INSPECTION. ALL WORK COMPLETED.,2 FAMILY DWELLING,APARTMENTS,1,SEC,3,1,2,Marina,2,Marina,"(37.79715311643, -122.429767402174)"
2012/12/07,2012,2012_Q4,CFC ISSUED,201007015796,2,533,LAIDLEY,ST,6727,038,6727038,"ERECT 1 DWELLING UNIT, 2 STORIES BLDG.",,1 FAMILY DWELLING,0,,1,1,7,Central,8,Glen Park,"(37.735544093248, -122.431244813687)"
2015/11/19,2015,2015_Q4,COMPLETE,200904025465,2,1235,40TH,AV,1710,006,1710006,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.",1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,1,15,Outer Sunset,4,Sunset/Parkside,"(37.763731360656, -122.500051167768)"
2005/10/17,2005,2005_Q4,CFC ISSUED,200509062119,3,1201,HAWES,ST,4756,047,4756047,TO CORREC,,,0,,0,1,10,South Bayshore,10,Bayview Hunters Point,"(37.728438312813, -122.381607504624)"
2012/05/07,2012,2012_Q2,FINAL INSPECT/APPRVD,200908215311,3,2082,PINE,ST,0651,010,0651010,"the building original contained 3-dwelling units, one units was abandoned the interior of the abanddoned unit with 2-bebroom, 2-1/2 bath and restore, the living unit to make a 3-unit. residental building.",2 FAMILY DWELLING,APARTMENTS,1,SEC,3,1,5,Western Addition,5,Pacific Heights,"(37.788635879066, -122.43008333973)"
2007/03/07,2007,2007_Q1,CFC ISSUED,200603297780,3,529,VALLEJO,ST,0145,039,0145039,MINOR ALTERATIONS TO EXISTING UNIT TO BE MERGED WITH OWNER OCCUPIED UNIT. SPRINKLER SYSTEM CHANGES ON SEPARATE APPLICATION.,APARTMENTS,APARTMENTS,0,,4,-1,3,Northeast,3,North Beach,"(37.798738240481, -122.406123143815)"
2007/12/28,2007,2007_Q4,PRE-FINAL,200504200401,2,1300,EDDY,ST,0733,002,0733002,BLDG #4 - TO ERECT 3 STORIES OF 1 FAMILY DWELLING.,,1 FAMILY DWELLING,0,,1,1,5,Western Addition,5,Western Addition,"(37.782066986442, -122.429620729525)"
2014/12/10,2014,2014_Q4,COMPLETE,201208107053,6,233,LAIDLEY,ST,6684,022,6684022,"DEMOLISH 1 STORY, TYPE 5, SINGLE FAMILY RESIDENT BUILDING.",1 FAMILY DWELLING,,0,,-1,-1,7,Central,8,Glen Park,"(37.738314129192, -122.427797821915)"
2012/10/30,2012,2012_Q4,CFC ISSUED,200609283617,3,1596,CHURCH,ST,6601,006,6601006,"HORIZONTAL & VERTIAL ADDITION: SELECTIVE DEMO OF (E) CHURCH STRUCTURE W/ NEW VERTICAL ADDITION TO CREATE 4 STORY MIXED USE BUILDING HOUSING 6 RESIDENTIAL UNITS, RES. PARKING GARAGE & STREET FRONT COMMERCIAL SPACE",CHURCH,APARTMENTS,0,,6,6,7,Central,8,Noe Valley,"(37.745439983059, -122.427166096654)"
2014/07/02,2014,2014_Q3,FINAL INSPECT/APPRVD,201306270672,8,42,NEWMAN,ST,5715,001,5715001,"NO ADDITION TO (E) BUILDING ENVELOPE, KITCHEN & BATHROOM ALTERATION AT UPPER FLOOR, CREATE NEW BATHROOM CLOSETS & KITCHENENTTE LOWER LEVEL REPLACES SELECTED WINDOWS IN KIND SIZE, ADD 2 SKYLIGHTS & 3 LIGHTS TUBES.FOUNDATION & NEW FRAMING. CHANGE OF USE PA",OFFICE,2 FAMILY DWELLING,1,SEC,2,1,11,Bernal Heights,9,Bernal Heights,"(37.737617866626, -122.418163609233)"
2013/11/06,2013,2013_Q4,PRE-FINAL,200905077950,3,34,PLEASANT,ST,0221,020,0221020,,2 FAMILY DWELLING,APARTMENTS,1,SEC,3,1,3,Northeast,3,Nob Hill,"(37.793047985099, -122.413397628789)"
2015/12/15,2015,2015_Q4,CFC ISSUED,201105256770,3,140,09TH,ST,3509,005,3509005,"Change of Occupancy from retail furniture store to mixed use(Art studio, Art gallery, Congregate living facility and efficiency apartments. Seismic upgrade per 3403.5.- Partitions, plumbing,mechanical, electrical & finish work. Auto sprinkler system NFPA",MISC GROUP RESIDNS.,MISC GROUP RESIDNS.,0,,10,10,4,Downtown,6,South of Market,"(37.775490072512, -122.414271127499)"
2007/07/24,2007,2007_Q3,CFC ISSUED,200306237700,3,1151,GENEVA,AV,6405,017,6405017,"HORAZONTAL ADDITION ON 2ND FLOOR. ADD 3RD FLOOR VERTICAL ADDITION, ADD 3RD UNIT WITH PKG VARIANCE. RELOCATE GROUND FLOOR UNIT",2 FAMILY DWELLING,APARTMENTS,1,SEC,3,1,12,South Central,11,Excelsior,"(37.714760725548, -122.436686914634)"
2015/11/30,2015,2015_Q4,COMPLETE,201404173519,3,690,MONTEREY,BL,3094,055,3094055,"CHANGE OF USE. CHANGE (E) OFFICE TO RESIDENTIAL UNIT AT 2ND FLOOR PER PLAN INCLUDING 3 BATHROOMS, 5 BEDROOMS, 1 KITCHEN & LIVING ROOM.",2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,1,13,Ingleside,7,West of Twin Peaks,"(37.731814365644, -122.450867577937)"
2005/08/11,2005,2005_Q3,FINAL INSPECT/APPRVD,200307220097,6,133,ST MARYS,AV,6722,031,6722031,TO DEMOLI,,,0,,0,-1,12,South Central,8,Outer Mission,"(37.734653393712, -122.42832395133)"
2005/08/11,2005,2005_Q3,FINAL INSPECT/APPRVD,200307220097,6,133,ST MARYS,AV,6722,031,6722031,TO DEMOLI,,,0,,0,-1,12,South Central,8,Outer Mission,"(37.734653393712, -122.42832395133)"
2008/02/07,2008,2008_Q1,CFC ISSUED,200501243813,3,133,COLLEGE,AV,6692,023,6692023,PROPOSED VERTICAL & HORIZONTAL ADDITION & CHANGE OF USE FROM ONE UNIT TO TWO UNITS. (REMOVE EXISTING 3RD FLOOR PITCH ROOF & DORMERS & CONSTRUCT NEW FULL HEIGHT FLOOR AREA.),1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,11,Bernal Heights,8,Bernal Heights,"(37.735616402849, -122.426476429205)"
2007/06/28,2007,2007_Q2,FINAL INSPECT/ APPRVD,200702234776,8,1638,GREAT,HY,1895,053,1895053,COMPLY WITH NOV 200558996. REMOVE KITCHEN AND BATH AT GROUND FLOOR. CAP UTILITIES AT SOURCE. REMOVE ILLEGAL UNIT IN BASEMENT,2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,-1,15,Outer Sunset,4,Sunset/Parkside,"(37.755839260454, -122.508510587081)"
2015/04/03,2015,2015_Q2,COMPLETE,201311010862,3,1424,10TH,AV,1844,040,1844040,CREATE A (N) UNIT BY ADDING KITCHENETTE & A BATHROOM.,2 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,14,Inner Sunset,7,Inner Sunset,"(37.761593209907, -122.466898256669)"
2005/08/18,2005,2005_Q3,CFC ISSUED,200411088766,3,1715,LYON,ST,1031,010,1031010,REMOVAL O,,,0,,0,-2,1,Richmond,2,Presidio Heights,"(37.786644016495, -122.445549439279)"
